# ----------------------------------------
# wiki.ubc.ca
# Top Events
# 20140405-20140505
# ----------------------------------------

Event Label,Total Events,Unique Events,Event Value,Avg. Value
7536,2,2,0,0.00
75362,2,2,0,0.00
75363,2,2,0,0.00
75364,2,2,0,0.00
7539,2,2,0,0.00
75390,2,2,0,0.00
75393,2,2,0,0.00
75404,2,2,0,0.00
75406,2,2,0,0.00
75435,2,2,0,0.00
75438,2,2,0,0.00
75454,2,2,0,0.00
75464,2,2,0,0.00
75481,2,2,0,0.00
7552,2,2,0,0.00
75533,2,2,0,0.00
75544,2,2,0,0.00
75549,2,2,0,0.00
75581,2,2,0,0.00
75586,2,2,0,0.00
75594,2,2,0,0.00
75597,2,2,0,0.00
7570,2,2,0,0.00
7571,2,2,0,0.00
75729,2,2,0,0.00
7573,2,2,0,0.00
75730,2,2,0,0.00
75731,2,2,0,0.00
75733,2,2,0,0.00
75735,2,2,0,0.00
7575,2,2,0,0.00
75764,2,2,0,0.00
75774,2,2,0,0.00
75778,2,2,0,0.00
75786,2,2,0,0.00
75787,2,2,0,0.00
75789,2,2,0,0.00
75792,2,2,0,0.00
75799,2,2,0,0.00
75821,2,2,0,0.00
75835,2,2,0,0.00
7587,2,2,0,0.00
75871,2,2,0,0.00
75879,2,2,0,0.00
75892,2,2,0,0.00
759569,2,2,0,0.00
7597,2,2,0,0.00
75973,2,2,0,0.00
75983,2,2,0,0.00
75984,2,2,0,0.00
76020,2,2,0,0.00
76033,2,2,0,0.00
76037,2,2,0,0.00
76038,2,2,0,0.00
76057,2,2,0,0.00
76059,2,2,0,0.00
7606,2,2,0,0.00
76075,2,2,0,0.00
76153,2,2,0,0.00
76172,2,2,0,0.00
7618,2,2,0,0.00
7619,2,2,0,0.00
76199,2,2,0,0.00
7620,2,2,0,0.00
76208,2,2,0,0.00
7622,2,2,0,0.00
7623,2,2,0,0.00
76284,2,2,0,0.00
76302,2,2,0,0.00
7631,2,2,0,0.00
7633,2,2,0,0.00
76339,2,2,0,0.00
76364,2,2,0,0.00
76368,2,2,0,0.00
76373,2,2,0,0.00
76385,2,2,0,0.00
76390,2,2,0,0.00
76398,2,2,0,0.00
76426,2,2,0,0.00
76428,2,2,0,0.00
76446,2,2,0,0.00
76464,2,2,0,0.00
7649,2,2,0,0.00
7652,2,2,0,0.00
7655,2,2,0,0.00
76567,2,2,0,0.00
7657,2,2,0,0.00
76592,2,2,0,0.00
76629,2,2,0,0.00
7663,2,2,0,0.00
76643,2,2,0,0.00
7666,2,2,0,0.00
7667,2,2,0,0.00
76678,2,2,0,0.00
76685,2,2,0,0.00
76686,2,2,0,0.00
76724,2,2,0,0.00
76777,2,2,0,0.00
76779,2,2,0,0.00
76789,2,2,0,0.00
7685,2,2,0,0.00
76883,2,2,0,0.00
76888,2,2,0,0.00
7690,2,2,0,0.00
76929,2,2,0,0.00
76933,2,2,0,0.00
7694,2,2,0,0.00
76943,2,2,0,0.00
76965,2,2,0,0.00
7697,2,2,0,0.00
7698,2,2,0,0.00
76989,2,2,0,0.00
7701,2,2,0,0.00
7705,2,2,0,0.00
77055,2,2,0,0.00
77074,2,2,0,0.00
77079,2,2,0,0.00
77097,2,2,0,0.00
77105,2,2,0,0.00
77109,2,2,0,0.00
77135,2,2,0,0.00
7714,2,2,0,0.00
77157,2,2,0,0.00
77174,2,2,0,0.00
7718,2,2,0,0.00
77189,2,2,0,0.00
77206,2,2,0,0.00
7727,2,2,0,0.00
77277,2,2,0,0.00
77280,2,2,0,0.00
77309,2,2,0,0.00
7734,2,2,0,0.00
77351,2,2,0,0.00
77353,2,2,0,0.00
77370,2,2,0,0.00
77388,2,2,0,0.00
77402,2,2,0,0.00
77404,2,2,0,0.00
77424,2,2,0,0.00
77467,2,2,0,0.00
77486,2,2,0,0.00
77521,2,2,0,0.00
77563,2,2,0,0.00
77569,2,2,0,0.00
7759,2,2,0,0.00
77596,2,2,0,0.00
77602,2,2,0,0.00
7763,2,2,0,0.00
7764,2,2,0,0.00
77642,2,2,0,0.00
7766,2,2,0,0.00
77660,2,2,0,0.00
7768,2,2,0,0.00
77709,2,2,0,0.00
77713,2,2,0,0.00
7773,2,2,0,0.00
77731,2,2,0,0.00
77747,2,2,0,0.00
77752,2,2,0,0.00
7777,2,2,0,0.00
7780,2,2,0,0.00
77832,2,2,0,0.00
77854,2,2,0,0.00
77869,2,2,0,0.00
77872,2,2,0,0.00
7788,2,2,0,0.00
77880,2,2,0,0.00
77885,2,2,0,0.00
778930,2,2,0,0.00
77895,2,2,0,0.00
77903,2,2,0,0.00
77911,2,2,0,0.00
77943,2,2,0,0.00
77944,2,2,0,0.00
77947,2,2,0,0.00
77978,2,2,0,0.00
77996,2,2,0,0.00
78002,2,2,0,0.00
78016,2,2,0,0.00
78018,2,2,0,0.00
78026,2,2,0,0.00
7805,2,2,0,0.00
78052,2,2,0,0.00
7806,2,2,0,0.00
78090,2,2,0,0.00
78094,2,2,0,0.00
78112,2,2,0,0.00
78117,2,2,0,0.00
7812,2,2,0,0.00
78125,2,2,0,0.00
78158,2,2,0,0.00
7816,2,2,0,0.00
78206,2,2,0,0.00
7821,2,2,0,0.00
78252,2,2,0,0.00
78274,2,2,0,0.00
78278,2,2,0,0.00
7828,2,2,0,0.00
78286,2,2,0,0.00
78287,2,2,0,0.00
78305,2,2,0,0.00
78309,2,2,0,0.00
783097,2,2,0,0.00
7831,2,2,0,0.00
78327,2,2,0,0.00
78335,2,2,0,0.00
78365,2,2,0,0.00
78369,2,2,0,0.00
7838,2,2,0,0.00
78389,2,2,0,0.00
7839,2,2,0,0.00
78394,2,2,0,0.00
78437,2,2,0,0.00
7845,2,2,0,0.00
78475,2,2,0,0.00
7856,2,2,0,0.00
78567,2,2,0,0.00
78585,2,2,0,0.00
78590,2,2,0,0.00
7862,2,2,0,0.00
7863,2,2,0,0.00
78641,2,2,0,0.00
78650,2,2,0,0.00
78651,2,2,0,0.00
78654,2,2,0,0.00
7866,2,2,0,0.00
7867,2,2,0,0.00
7868,2,2,0,0.00
78690,2,2,0,0.00
78718,2,2,0,0.00
78731,2,2,0,0.00
7874,2,2,0,0.00
78745,2,2,0,0.00
78747,2,2,0,0.00
78758,2,2,0,0.00
78772,2,2,0,0.00
78776,2,2,0,0.00
78818,2,2,0,0.00
78834,2,2,0,0.00
