# ----------------------------------------
# wiki.ubc.ca
# Top Events
# 20120101-20140430
# ----------------------------------------

Event Label,Total Events,Unique Events,Event Value,Avg. Value
3100,15,15,0,0.00
3116,15,15,0,0.00
3150,15,15,0,0.00
3163,15,15,0,0.00
3208,15,15,0,0.00
3238,15,15,0,0.00
3312,15,15,0,0.00
3330,15,15,0,0.00
3351,15,15,0,0.00
3414,15,15,0,0.00
3525,15,15,0,0.00
3536,15,15,0,0.00
3578,15,15,0,0.00
3583,15,15,0,0.00
3587,15,15,0,0.00
3607,15,15,0,0.00
3691,15,15,0,0.00
3697,15,15,0,0.00
3719,15,15,0,0.00
3738,15,15,0,0.00
3794,15,15,0,0.00
3799,15,15,0,0.00
3822,15,15,0,0.00
3828,15,14,0,0.00
3845,15,15,0,0.00
3862,15,15,0,0.00
3946,15,15,0,0.00
3987,15,15,0,0.00
4003,15,15,0,0.00
4013,15,15,0,0.00
4033,15,15,0,0.00
4079,15,15,0,0.00
4097,15,15,0,0.00
4121,15,15,0,0.00
4169,15,15,0,0.00
4270,15,15,0,0.00
4303,15,15,0,0.00
4306,15,15,0,0.00
4375,15,15,0,0.00
4493,15,15,0,0.00
4563,15,15,0,0.00
4606,15,15,0,0.00
4656,15,15,0,0.00
4657,15,15,0,0.00
4868,15,15,0,0.00
4935,15,15,0,0.00
2406,14,14,0,0.00
2490,14,14,0,0.00
2521,14,14,0,0.00
2586,14,14,0,0.00
2621,14,14,0,0.00
2677,14,14,0,0.00
2686,14,14,0,0.00
2718,14,14,0,0.00
2726,14,14,0,0.00
2785,14,14,0,0.00
2821,14,14,0,0.00
2853,14,14,0,0.00
2861,14,14,0,0.00
2884,14,14,0,0.00
2897,14,13,0,0.00
2931,14,14,0,0.00
2942,14,14,0,0.00
2971,14,14,0,0.00
2972,14,14,0,0.00
2990,14,14,0,0.00
3006,14,14,0,0.00
3015,14,14,0,0.00
3017,14,14,0,0.00
3024,14,14,0,0.00
3025,14,14,0,0.00
3069,14,14,0,0.00
3075,14,14,0,0.00
3090,14,14,0,0.00
3135,14,14,0,0.00
3136,14,14,0,0.00
3146,14,14,0,0.00
3182,14,14,0,0.00
3187,14,14,0,0.00
3214,14,14,0,0.00
3228,14,14,0,0.00
3242,14,14,0,0.00
3262,14,14,0,0.00
3293,14,14,0,0.00
3297,14,14,0,0.00
3316,14,14,0,0.00
3340,14,14,0,0.00
3343,14,14,0,0.00
3427,14,14,0,0.00
3433,14,14,0,0.00
3447,14,14,0,0.00
3465,14,14,0,0.00
3477,14,14,0,0.00
3513,14,14,0,0.00
3544,14,14,0,0.00
3548,14,14,0,0.00
3550,14,14,0,0.00
3561,14,14,0,0.00
3567,14,14,0,0.00
3568,14,14,0,0.00
3570,14,14,0,0.00
3593,14,14,0,0.00
3640,14,14,0,0.00
3643,14,14,0,0.00
3671,14,14,0,0.00
3681,14,14,0,0.00
3728,14,14,0,0.00
3766,14,14,0,0.00
3771,14,14,0,0.00
3781,14,14,0,0.00
3792,14,14,0,0.00
3809,14,14,0,0.00
3821,14,14,0,0.00
3825,14,14,0,0.00
3872,14,14,0,0.00
3881,14,14,0,0.00
3910,14,14,0,0.00
3918,14,14,0,0.00
3923,14,14,0,0.00
3933,14,14,0,0.00
3944,14,14,0,0.00
3962,14,14,0,0.00
3970,14,14,0,0.00
3978,14,14,0,0.00
4014,14,14,0,0.00
4024,14,14,0,0.00
4042,14,14,0,0.00
4045,14,14,0,0.00
4064,14,14,0,0.00
4069,14,14,0,0.00
4070,14,14,0,0.00
4098,14,14,0,0.00
4102,14,13,0,0.00
4137,14,14,0,0.00
4142,14,14,0,0.00
4150,14,14,0,0.00
4228,14,14,0,0.00
4232,14,14,0,0.00
4234,14,14,0,0.00
4243,14,14,0,0.00
4272,14,14,0,0.00
4297,14,13,0,0.00
4360,14,13,0,0.00
4369,14,14,0,0.00
4372,14,14,0,0.00
4447,14,14,0,0.00
4479,14,14,0,0.00
4514,14,14,0,0.00
4609,14,14,0,0.00
4860,14,14,0,0.00
4968,14,14,0,0.00
5616,14,14,0,0.00
5804,14,14,0,0.00
2422,13,13,0,0.00
2475,13,13,0,0.00
2566,13,13,0,0.00
2587,13,13,0,0.00
2609,13,13,0,0.00
2613,13,13,0,0.00
2642,13,13,0,0.00
2672,13,13,0,0.00
2683,13,13,0,0.00
2690,13,13,0,0.00
2708,13,13,0,0.00
2713,13,13,0,0.00
2724,13,13,0,0.00
2729,13,13,0,0.00
2732,13,13,0,0.00
2758,13,13,0,0.00
2759,13,13,0,0.00
2763,13,13,0,0.00
2791,13,13,0,0.00
2793,13,13,0,0.00
2796,13,13,0,0.00
2819,13,13,0,0.00
2825,13,13,0,0.00
2893,13,13,0,0.00
2894,13,13,0,0.00
2945,13,13,0,0.00
2953,13,13,0,0.00
2969,13,13,0,0.00
2978,13,13,0,0.00
