Q,1a,1b,1c,1d,1e,1f,2a,2b,2c,2d,3a,3bi,3bii,4a,4b,5a,5b,6a,6b,6c,7a,7b,7c,7d,7e,8a,8b,8c,9,10
S76,2,0,0,2,2,1,3,0,2,1,0,2,1,5,1,2,3,2,0,0,2,0,0,0,0,0,0,0,3,4
S77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.8157894737,0.5592105263,0.3289473684,0.7302631579,0.6447368421,0.3947368421,0.9298245614,0.1929824561,0.4824561404,0.2763157895,0.1875,0.2730263158,0.0723684211,0.9026315789,0.3,0.3004385965,0.4539473684,0.3585526316,0.2368421053,0.1809210526,0.5986842105,0.201754386,0.1447368421,0.1666666667,0.0745614035,0.3070175439,0.2894736842,0.2078947368,0.7105263158,0.399122807
