# ----------------------------------------
# All Web Site Data
# Top Events
# 20140902-20141231
# ----------------------------------------

Event Label,Total Events,Unique Events,Event Value,Avg. Value
MATH307_December_2008_e,2,2,0,0.00
MATH312_December_2009_s,2,2,0,0.00
MATH312_December_2010_a,2,2,0,0.00
MATH312_December_2012_a,2,2,0,0.00
MATH312_December_2013_a,2,2,0,0.00
MATH101_April_2005_a,1,1,0,0.00
MATH101_April_2006_a,1,1,0,0.00
MATH152_April_2010_s,1,1,0,0.00
MATH152_April_2011_a,1,1,0,0.00
MATH152_April_2011_s,1,1,0,0.00
MATH220_April_2005_a,1,1,0,0.00
MATH307_April_2012_a,1,1,0,0.00
MATH307_April_2012_e,1,1,0,0.00
MATH307_April_2013_s,1,1,0,0.00
MATH307_December_2008_a,1,1,0,0.00
MATH307_December_2008_s,1,1,0,0.00
MATH307_December_2010_a,1,1,0,0.00
MATH307_December_2010_e,1,1,0,0.00
MATH307_December_2012_e,1,1,0,0.00
MATH307_December_2012_s,1,1,0,0.00
MATH312_December_2005_a,1,1,0,0.00
MATH312_December_2008_a,1,1,0,0.00
MATH312_December_2009_a,1,1,0,0.00
MATH437_December_2011_a,1,1,0,0.00
,"9,104","8,033",0,0.00

Day Index,Total Events
9/2/14,0
9/3/14,0
9/4/14,0
9/5/14,0
9/6/14,0
9/7/14,0
9/8/14,0
9/9/14,0
9/10/14,0
9/11/14,0
9/12/14,0
9/13/14,0
9/14/14,0
9/15/14,0
9/16/14,0
9/17/14,0
9/18/14,0
9/19/14,0
9/20/14,0
9/21/14,0
9/22/14,0
9/23/14,0
9/24/14,0
9/25/14,0
9/26/14,0
9/27/14,0
9/28/14,0
9/29/14,0
9/30/14,0
10/1/14,0
10/2/14,0
10/3/14,0
10/4/14,0
10/5/14,0
10/6/14,0
10/7/14,0
10/8/14,0
10/9/14,0
10/10/14,0
10/11/14,0
10/12/14,0
10/13/14,0
10/14/14,0
10/15/14,0
10/16/14,0
10/17/14,0
10/18/14,0
10/19/14,0
10/20/14,0
10/21/14,0
10/22/14,0
10/23/14,0
10/24/14,0
10/25/14,0
10/26/14,0
10/27/14,0
10/28/14,0
10/29/14,0
10/30/14,0
10/31/14,0
11/1/14,0
11/2/14,0
11/3/14,0
11/4/14,0
11/5/14,0
11/6/14,0
11/7/14,0
11/8/14,0
11/9/14,0
11/10/14,0
11/11/14,0
11/12/14,0
11/13/14,0
11/14/14,0
11/15/14,0
11/16/14,0
11/17/14,0
11/18/14,0
11/19/14,0
11/20/14,0
11/21/14,0
11/22/14,0
11/23/14,0
11/24/14,0
11/25/14,0
11/26/14,0
11/27/14,0
11/28/14,0
11/29/14,84
11/30/14,162
12/1/14,326
12/2/14,455
12/3/14,"1,112"
12/4/14,"2,330"
12/5/14,"3,245"
12/6/14,666
12/7/14,37
12/8/14,39
12/9/14,17
12/10/14,49
12/11/14,23
12/12/14,25
12/13/14,62
12/14/14,104
12/15/14,104
12/16/14,107
12/17/14,74
12/18/14,0
12/19/14,4
12/20/14,3
12/21/14,1
12/22/14,5
12/23/14,14
12/24/14,2
12/25/14,2
12/26/14,1
12/27/14,9
12/28/14,29
12/29/14,3
12/30/14,3
12/31/14,7
,"9,104"

