# ----------------------------------------
# wiki.ubc.ca
# Math Exam Resource Wiki
# 20120101-20150121
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Users,Avg. Time on Page,Pages / Session,Session Duration
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(i),1837,1630,1390,00:04:30,22.40,25:49:37
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(f),1820,1657,1450,00:03:02,16.70,75:20:30
/Science:Math_Exam_Resources/Courses/MATH110/December_2010,1820,1183,714,00:01:11,9.53,70:18:55
/Science:Math_Exam_Resources/Courses/MATH110/April_2011,1815,1063,676,00:00:23,16.65,35:50:15
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_02_(b),1810,1646,1248,00:04:47,15.88,52:18:51
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_07_(b),1782,1477,1112,00:04:33,9.33,112:32:08
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(h),1771,1597,1412,00:02:06,32.20,40:40:56
/Science:Math_Exam_Resources/Courses/MATH257/December_2011,1766,1030,687,00:00:40,9.81,20:25:58
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_05_(b),1760,1548,1123,00:06:34,12.94,105:17:39
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(n),1760,1532,1297,00:02:42,29.33,43:41:15
/Science:Math_Exam_Resources/Courses/MATH152/April_2012,1760,1166,752,00:01:18,11.97,94:53:03
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(k),1755,1591,1352,00:03:28,27.00,27:26:44
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_12_(c),1750,1493,1036,00:04:07,10.36,62:51:43
/Science:Math_Exam_Resources/Courses/MATH103/April_2011/Question_3_(a),1739,997,659,00:03:33,7.59,93:47:17
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_02_(c),1728,1488,1085,00:04:07,15.85,78:54:53
/Science:Math_Exam_Resources/Courses/MATH103/April_2009/Question_1_(a),1717,1379,992,00:03:21,19.74,56:41:38
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(g),1717,1575,1373,00:02:53,28.62,25:14:55
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_04_(a),1684,1477,1106,00:05:13,17.18,70:22:11
/Science:Math_Exam_Resources/Courses/MATH101/April_2008,1679,1112,768,00:00:39,19.30,46:09:35
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_05_(a),1662,1439,1057,00:08:01,14.58,78:48:04
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(j),1651,1548,1357,00:03:16,30.02,09:59:38
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(l),1651,1510,1292,00:03:38,20.13,31:26:16
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_03_(c),1646,1515,1134,00:04:38,74.82,10:39:47
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_06_(b),1646,1499,1052,00:07:39,21.66,36:02:36
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_1_(b),1646,1401,1172,00:03:37,14.44,81:08:19
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_12_(b),1635,1324,959,00:03:13,15.72,85:33:18
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_06_(a),1630,1477,1128,00:05:00,22.96,61:42:03
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_01_(b),1613,1455,1090,00:02:11,36.66,24:03:42
/Science:Math_Exam_Resources/Courses/MATH100/December_2012/Question_01_(a),1608,1423,1177,00:02:14,14.11,61:09:21
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_03_(b),1591,1493,1096,00:02:58,32.47,38:34:02
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(m),1586,1455,1232,00:02:46,24.40,14:41:41
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_01_(c),1581,1477,1123,00:03:54,26.35,11:39:06
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_6,1581,1346,1025,00:05:48,19.28,17:04:02
/Science:Math_Exam_Resources/Courses/MATH215/December_2013,1581,916,567,00:00:32,14.50,34:14:25
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_03_(a),1575,1455,1134,00:02:28,26.25,16:26:31
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_04_(b),1575,1379,1052,00:03:31,18.10,51:33:15
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_10_(a),1570,1357,1003,00:04:12,19.15,35:00:01
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_09_(a),1559,1406,992,00:03:36,17.92,53:12:37
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_11,1553,1324,1025,00:04:58,12.94,77:46:56
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_2,1548,1303,1057,00:04:41,28.15,21:31:38
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_01_(a),1537,1232,752,00:02:26,11.30,77:30:13
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_3,1537,1314,1041,00:06:00,16.53,22:50:07
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_10_(b),1510,1303,943,00:06:00,39.74,19:00:02
/Science:Math_Exam_Resources/Courses/MATH103/April_2011/Question_1_(b),1504,1112,834,00:04:44,9.17,66:59:32
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_1_(b),1504,1155,861,00:03:09,14.46,67:43:51
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_01_(c),1493,1210,741,00:04:47,17.16,52:02:13
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_08,1488,1324,992,00:07:44,10.94,105:09:40
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_09_(b),1461,1368,1019,00:03:48,24.35,30:43:24
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_7,1433,1232,981,00:05:35,13.78,61:20:31
/Science:Math_Exam_Resources/Courses/MATH103/April_2011/Question_1_(a),1412,1221,905,00:03:14,17.22,28:00:26
/Science:Math_Exam_Resources/Courses/MATH104/December_2012/Question_1_(b),1368,1096,823,00:03:18,18.00,64:51:48
/Science:Math_Exam_Resources/Courses/MATH100/December_2012/Question_07,1363,1199,1025,00:06:40,13.91,63:42:13
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_9_(a),1363,1172,948,00:02:38,11.96,31:16:22
/Science:Math_Exam_Resources/Courses/MATH101/April_2011/Question_1_(a),1341,1112,883,00:03:13,13.68,58:18:50
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_5_(a),1341,1155,899,00:02:15,20.63,13:29:01
/Science:Math_Exam_Resources/Courses/MATH100/December_2012/Question_04_(c),1335,1155,970,00:05:18,60.68,13:51:54
/Science:Math_Exam_Resources/Courses/MATH100/December_2012/Question_05_(a),1330,1019,888,00:04:01,17.50,16:26:58
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_9_(e),1330,1057,883,00:03:08,13.57,13:52:16
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_9_(c),1324,1199,1014,00:04:01,10.11,39:41:53
/Science:Math_Exam_Resources/Courses/MATH100/December_2012/Question_08,1314,1145,981,00:05:00,11.53,54:52:00
/Science:Math_Exam_Resources/Courses/MATH105/April_2010/Question_6,1308,1090,845,00:04:27,18.42,22:51:40
/Science:Math_Exam_Resources/Courses/MATH257,1303,1014,807,00:00:11,17.14,01:16:13
/Science:Math_Exam_Resources/Courses/MATH105/April_2010/Question_1_(b),1297,1112,888,00:01:54,39.30,25:35:32
/Science:Math_Exam_Resources/Courses/MATH110/December_2013,1297,768,414,00:01:09,4.25,152:50:54
/Science:Math_Exam_Resources/Courses/MATH103/April_2012/Question_1_(a),1286,1063,698,00:02:51,16.92,34:42:18
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_4,1281,1128,899,00:02:58,14.72,67:28:25
/Science:Math_Exam_Resources/Courses/MATH100/December_2012/Question_01_(b),1270,1123,965,00:02:50,13.66,107:31:11
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_9_(b),1264,1085,921,00:04:11,25.80,17:06:51
/Science:Math_Exam_Resources/Courses/MATH103/April_2010/Question_1_(a),1248,1101,916,00:02:52,78.00,11:06:40
